env_id,mean_reward,std_reward,mean_length,mean_duration,mean_avg_speed,mean_distance,mean_onlane_rate,collision_rate,mean_total_steering,mean_total_jerk,mean_peak_jerk,n_episodes
custom-kinematic-v0,0.0,0.0,28.1,1.2804717302322388,15.723311487622105,52.869636455605004,0.0,0.94,1.26,48.97151670100002,10.519571964695906,50
exit-v0,39.993680884676145,0.0,40.0,4.337112216949463,29.981042654028432,239.84834123222745,0.7070000000000001,0.0,0.0,2.858642822063029,2.482196030680246,50
highway-v0,33.753695314080424,7.5917783304604445,36.98,19.585035781860352,20.43396207486522,147.01999314407502,1.0,0.14,4.8,597.8207985550067,54.77468021111816,50
intersection-v1,32.76666666666666,4.006938426723767,39.34,7.5512229394912715,0.20427980883836416,0.7182716192727563,1.0,0.02,0.22,8.557768564033887,6.7037858252107085,50
merge-v0,21.637254914117843,1.7346149742378167,25.04,1.6528712129592895,14.18287052110761,70.6305766499615,1.0,0.0,6.38,231.1255745654476,36.16816385704811,50
roundabout-v0,33.292333333333325,0.05019350311645994,40.0,3.9692901039123534,0.04122200209017271,0.3297760167213817,1.0,0.0,1.36,5.667417835700055,4.698922806868572,50
two-way-v0,10.969999999999995,1.1684194801665426,14.8,0.9389174652099609,16.669343705703728,49.02704562223623,1.0,0.12,1.04,95.2297618927581,38.66185370380215,50
u-turn-v0,32.78688524590165,0.0,40.0,2.749028902053833,0.2699440041803455,2.159552033442764,1.0,0.0,2.08,37.113322651951066,30.771092462848806,50
