env_id,episode,reward,length,duration_sec,avg_speed_mps,total_distance_m,onlane_rate,collision,total_steering_change,total_jerk,peak_jerk
highway-v0,0,7.916889855509058,9,11.204570293426514,28.42895137467834,51.17211247442101,1.0,True,0.0,108.36095652475187,53.93335142777785
highway-v0,1,33.91606691960581,37,46.1617317199707,21.830184266188656,161.54336356979607,1.0,True,4.0,156.87516217694926,43.76316049382714
highway-v0,2,35.90516026437209,40,41.1133131980896,18.387881875653175,147.1030550052254,1.0,False,3.0,291.5707732422154,62.74383169065639
highway-v0,3,36.338650817865705,40,34.73762392997742,18.04401422034919,144.35211376279352,1.0,False,6.0,668.1696047185709,60.63250045088784
highway-v0,4,36.445388484826836,40,35.64191269874573,18.95602210885328,151.64817687082623,1.0,False,4.0,776.1936931881883,61.275418312947295
highway-v0,5,36.957788057107614,40,32.88840293884277,20.4192478868867,163.3539830950936,1.0,False,6.0,670.4832593391735,60.632500434901914
highway-v0,6,36.288684255967276,40,24.467445611953735,18.57538187565318,148.60305500522543,1.0,False,7.0,226.59474900879522,31.187465390878074
highway-v0,7,36.74718976691259,40,21.47224998474121,19.731514266955077,157.85211413564062,1.0,False,4.0,545.7441979300908,60.65125990122297
highway-v0,8,36.32664115029177,40,21.252418041229248,20.411737211132916,163.29389768906333,1.0,False,6.0,701.751460522897,60.6325370205807
highway-v0,9,37.32526688897815,40,20.956456422805786,21.35487647802456,170.8390118241965,1.0,False,8.0,570.4714362566058,56.8701781820706
highway-v0,10,36.83175560261946,40,21.180772066116333,20.231749482942323,161.8539958635386,1.0,False,6.0,632.6925127525149,60.63303273497315
highway-v0,11,36.65922112621497,40,20.809886932373047,19.143512762031428,153.14810209625142,1.0,False,2.0,1030.1723416295924,60.63248490669178
highway-v0,12,36.732852486729314,40,21.053582668304443,21.5377000982349,172.3016007858792,1.0,False,4.0,1428.8012663288782,62.27915659239781
highway-v0,13,36.83520530024485,40,20.531018018722534,19.89352182813436,159.1481746250749,1.0,False,8.0,692.1845470355154,60.63303273497315
highway-v0,14,36.14875539301596,40,19.692835807800293,19.893522108853308,159.14817687082646,1.0,False,4.0,1403.4214080193826,62.74383169065639
highway-v0,15,36.701328931827724,40,19.736167669296265,19.546205472914473,156.36964378331578,1.0,False,4.0,645.2462720893147,61.881897935304664
highway-v0,16,36.29501347407041,40,18.70035219192505,18.762881875653182,150.10305500522546,1.0,False,5.0,175.29506517048236,31.187465390878074
highway-v0,17,36.59965520404508,40,18.59672737121582,19.330702035043128,154.64561628034502,1.0,False,8.0,823.192011856054,62.27915659239781
highway-v0,18,36.01454928955583,40,18.578977584838867,19.545885671878143,156.36708537502514,1.0,False,4.0,1356.1455399844824,62.74383169065639
highway-v0,19,35.74891917188314,40,18.248603343963623,18.982450881813797,151.85960705451038,1.0,False,14.0,1332.700464658308,60.694141666849916
highway-v0,20,37.212888001623874,40,18.02595853805542,20.599263573814333,164.79410859051467,1.0,False,8.0,371.9798903923037,56.8701780730688
highway-v0,21,36.70659384092631,40,18.756656646728516,19.51820202637767,156.14561621102135,1.0,False,4.0,464.67540581677963,60.651259901223455
highway-v0,22,37.29883796741417,40,18.15821671485901,21.54237648212305,172.3390118569844,1.0,False,4.0,731.6034910589775,56.870178182054204
highway-v0,23,36.85063408016613,40,18.293132543563843,19.731515816288645,157.85212653030916,1.0,False,4.0,614.7999341113142,60.63303273497315
highway-v0,24,13.586944190985479,15,6.782846450805664,27.173812753348557,81.52143826004567,1.0,True,0.0,278.0949320587135,61.27532698742657
highway-v0,25,10.867709517184243,12,5.540751218795776,28.821713424706484,69.17211221929556,1.0,True,0.0,144.32318046532092,56.368309042626734
highway-v0,26,36.122782642829215,40,18.26852059364319,18.388041776191272,147.10433420953018,1.0,False,5.0,287.9089672476203,56.87017818207071
highway-v0,27,36.88407443830394,40,18.10767674446106,20.29401426695847,162.35211413566776,1.0,False,6.0,652.1369597579686,60.63303273497306
highway-v0,28,36.35720156805665,40,18.120497941970825,18.57538187565318,148.60305500522543,1.0,False,5.0,175.2953760976746,31.187465390878074
highway-v0,29,36.29674485403559,40,18.288715839385986,18.795887267777744,150.36709814222195,1.0,False,6.0,913.3674259011843,60.63303273497034
highway-v0,30,36.995120305212026,40,18.18526029586792,21.349237070667275,170.7938965653382,1.0,False,4.0,815.313536715089,62.27915659239781
highway-v0,31,35.923511364998255,40,18.055055379867554,18.73084033166078,149.84672265328624,1.0,False,8.0,315.10582088949,62.27915659239781
highway-v0,32,15.502461693872535,17,7.856991767883301,27.13531333249699,92.26006533048977,1.0,True,0.0,307.1383162378948,60.271680034622115
highway-v0,33,36.52885320686383,40,18.30599880218506,18.795885673200576,150.3670853856046,1.0,False,2.0,868.6188675493797,60.65125989793086
highway-v0,34,13.511574452868048,15,6.894323825836182,26.56080554999344,79.68241664998033,1.0,True,0.0,315.37242403386506,60.271680034622115
highway-v0,35,35.72110866207105,40,18.279916048049927,18.20131757809309,145.61054062474471,1.0,False,7.0,386.8701675069048,62.74383169065639
highway-v0,36,36.44016395838508,40,18.11014747619629,18.57538187565318,148.60305500522543,1.0,False,3.0,175.29351786242796,31.187465390878074
highway-v0,37,21.700641534942537,24,10.946231842041016,24.47826113595789,117.49565345259786,1.0,True,0.0,632.0272345676767,60.42328126436695
highway-v0,38,36.93123523689655,40,18.494322061538696,20.29401426695847,162.35211413566776,1.0,False,4.0,652.1369597579686,60.63303273497306
highway-v0,39,37.00047778220255,40,18.224292516708374,20.417376482123053,163.33901185698443,1.0,False,6.0,876.8578635966098,56.86943023111695
highway-v0,40,35.99704152687062,40,17.40714168548584,19.481804181194974,155.8544334495598,1.0,False,2.0,1650.2060941061507,62.74383169065639
highway-v0,41,36.59896695159143,40,18.30965781211853,19.358385673199415,154.86708538559532,1.0,False,4.0,833.4650047130734,60.63303273497031
highway-v0,42,36.77732209503781,40,17.98918890953064,19.85674948294572,158.85399586356576,1.0,False,4.0,687.6140081280646,60.63250045088792
highway-v0,43,36.52597908631659,40,18.045430660247803,18.950381875653175,151.6030550052254,1.0,False,9.0,226.59480173454074,31.187465390878074
highway-v0,44,36.40758440335437,40,18.217413902282715,18.57538187565318,148.60305500522543,1.0,False,5.0,175.29351786242796,31.187465390878074
highway-v0,45,35.80800935836319,40,17.815020322799683,17.22555766627263,137.80446133018103,1.0,False,11.0,355.3664458736838,31.187465390878074
highway-v0,46,36.59291893846994,40,18.086920738220215,19.137881875653157,153.10305500522526,1.0,False,9.0,226.5948030494791,31.187465390878074
highway-v0,47,37.02246388116295,40,18.151015043258667,20.417431178973768,163.33944943179014,1.0,False,4.0,799.8914716884528,60.63250045088784
highway-v0,48,36.41851175242672,40,18.234176635742188,18.57538187565318,148.60305500522543,1.0,False,5.0,175.29351786242796,31.187465390878074
highway-v0,49,36.36142596894596,40,18.275261640548706,19.13256171614352,153.06049372914816,1.0,False,4.0,545.7332686741082,60.52261460435774
merge-v0,0,20.132864477299382,23,1.664769172668457,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,1,21.621946626447883,25,1.7703742980957031,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,2,20.125288719723624,23,1.5622491836547852,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,3,20.123345932438074,23,1.677011489868164,15.055724481818503,69.25633261636511,1.0,False,8.0,247.37113694374085,31.09246485556346
merge-v0,4,20.091197810638743,23,1.4289765357971191,14.740787434970148,67.80762220086268,1.0,False,5.0,174.74076321427842,31.09621845316232
merge-v0,5,25.383256753780287,30,1.8632256984710693,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,6,20.469585740225774,25,1.5308468341827393,14.400308572269493,72.00154286134746,1.0,False,4.0,174.43223497428713,31.091823409893486
merge-v0,7,22.5402784066138,26,1.6005282402038574,13.85833652588544,72.06334993460429,1.0,False,6.0,225.3736231177483,36.378357746148765
merge-v0,8,20.125288719723624,23,1.8434009552001953,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,9,19.972118391834005,23,1.6115145683288574,14.740787434970148,67.80762220086268,1.0,False,5.0,174.74076321427842,31.09621845316232
merge-v0,10,22.263843498464265,26,1.6359472274780273,13.32868557998111,69.30916501590178,1.0,False,5.0,163.20818433870696,31.091823409893486
merge-v0,11,25.383256753780287,30,1.8250327110290527,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,12,20.125288719723624,23,1.5320653915405273,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,13,21.733450287676863,25,1.5393009185791016,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,14,20.132864477299382,23,1.5357398986816406,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,15,25.383256753780287,30,1.905670404434204,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,16,22.534432897036535,26,1.7342476844787598,14.136351631108552,73.50902848176447,1.0,False,9.0,271.5911022801254,31.09246485556346
merge-v0,17,25.383256753780287,30,2.027148962020874,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,18,20.132864477299382,23,1.5015738010406494,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,19,22.534432897036535,26,1.750180721282959,14.136351631108552,73.50902848176447,1.0,False,9.0,271.5911022801254,31.09246485556346
merge-v0,20,21.621946626447883,25,1.6932237148284912,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,21,20.125288719723624,23,1.4473183155059814,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,22,21.458944204439796,25,1.5949289798736572,14.101805696173349,70.50902848086675,1.0,False,5.0,170.02703215170803,31.091823409893486
merge-v0,23,25.383256753780287,30,2.057985544204712,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,24,20.14044023487514,23,1.6279065608978271,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,25,20.125288719723624,23,1.574627161026001,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,26,22.534432897036535,26,1.8987219333648682,14.136351631108552,73.50902848176447,1.0,False,9.0,271.5911022801254,31.09246485556346
merge-v0,27,22.421198987809063,26,1.7315280437469482,13.85833652588544,72.06334993460429,1.0,False,6.0,225.3736231177483,36.378357746148765
merge-v0,28,21.621946626447883,25,1.6314139366149902,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,29,20.083622053062985,23,1.6035044193267822,14.740787434970148,67.80762220086268,1.0,False,5.0,174.74076321427842,31.09621845316232
merge-v0,30,21.614370868872125,25,1.6595087051391602,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,31,20.132864477299382,23,1.611755609512329,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,32,20.13092169001383,23,1.645188570022583,15.055724481818503,69.25633261636511,1.0,False,8.0,247.37113694374085,31.09246485556346
merge-v0,33,21.725874530101105,25,1.6466336250305176,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,34,20.13092169001383,23,1.6015651226043701,15.055724481818503,69.25633261636511,1.0,False,8.0,247.37113694374085,31.09246485556346
merge-v0,35,20.132864477299382,23,1.692894697189331,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,36,22.263843498464265,26,1.7757925987243652,13.32868557998111,69.30916501590178,1.0,False,5.0,163.20818433870696,31.091823409893486
merge-v0,37,20.132864477299382,23,1.6482117176055908,15.06687439145733,69.30762220070372,1.0,False,7.0,226.040188478936,31.09620290898265
merge-v0,38,22.421198987809063,26,1.6126625537872314,13.85833652588544,72.06334993460429,1.0,False,6.0,225.3736231177483,36.378357746148765
merge-v0,39,21.458944204439796,25,1.4983887672424316,14.101805696173349,70.50902848086675,1.0,False,5.0,170.02703215170803,31.091823409893486
merge-v0,40,20.093331611842533,23,1.3832964897155762,14.796511859270202,68.06395455264293,1.0,False,8.0,248.32166292645695,31.09620290898265
merge-v0,41,21.458944204439796,25,1.5692346096038818,14.101805696173349,70.50902848086675,1.0,False,5.0,170.02703215170803,31.091823409893486
merge-v0,42,19.979694149409763,23,1.4752452373504639,14.740787434970148,67.80762220086268,1.0,False,5.0,174.74076321427842,31.09621845316232
merge-v0,43,25.390832511356045,30,1.7928640842437744,12.251813297242617,73.51087978345569,1.0,False,8.0,308.2340334979835,31.99887712907093
merge-v0,44,22.42877474538482,26,1.5921237468719482,13.85833652588544,72.06334993460429,1.0,False,6.0,225.3736231177483,36.378357746148765
merge-v0,45,22.534432897036535,26,1.6692419052124023,14.136351631108552,73.50902848176447,1.0,False,9.0,271.5911022801254,31.09246485556346
merge-v0,46,21.614370868872125,25,1.5099854469299316,14.112617518933838,70.56308759466918,1.0,False,4.0,225.2192377115403,62.0280898143026
merge-v0,47,23.94951446259023,28,1.756615161895752,12.85908544086196,72.01087846882697,1.0,False,4.0,256.92611318186255,36.40034171382545
merge-v0,48,22.42877474538482,26,1.6651298999786377,13.85833652588544,72.06334993460429,1.0,False,6.0,225.3736231177483,36.378357746148765
merge-v0,49,20.13092169001383,23,1.4362587928771973,15.055724481818503,69.25633261636511,1.0,False,8.0,247.37113694374085,31.09246485556346
roundabout-v0,0,33.33333333333332,40,4.9140729904174805,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,1,33.20833333333333,40,4.8484227657318115,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,2,33.29166666666665,40,4.9835498332977295,0.04122200209017271,0.3297760167213817,1.0,False,4.0,5.667417835700055,4.698922806868572
roundabout-v0,3,33.33333333333332,40,4.897629976272583,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,4,33.32499999999999,40,4.667027950286865,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,5,33.26666666666666,40,4.846077919006348,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,6,33.33333333333332,40,4.684772491455078,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,7,33.33333333333332,40,4.9854736328125,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,8,33.33333333333332,40,4.833115100860596,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,9,33.29999999999998,40,4.928163290023804,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,10,33.25833333333332,40,4.901263236999512,0.04122200209017271,0.3297760167213817,1.0,False,6.0,5.667417835700055,4.698922806868572
roundabout-v0,11,33.22499999999999,40,4.981614112854004,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,12,33.199999999999996,40,4.849863052368164,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,13,33.33333333333332,40,4.430777549743652,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,14,33.33333333333332,40,4.217843055725098,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,15,33.29999999999999,40,4.301155090332031,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,16,33.33333333333332,40,4.495729446411133,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,17,33.33333333333332,40,3.9926681518554688,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,18,33.33333333333332,40,3.333077907562256,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,19,33.216666666666654,40,3.6324944496154785,0.04122200209017271,0.3297760167213817,1.0,False,4.0,5.667417835700055,4.698922806868572
roundabout-v0,20,33.31666666666665,40,3.720745325088501,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,21,33.32499999999999,40,3.4417498111724854,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,22,33.33333333333332,40,3.6261658668518066,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,23,33.33333333333332,40,3.8221075534820557,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,24,33.32499999999998,40,3.3055310249328613,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,25,33.33333333333332,40,3.9206244945526123,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,26,33.20833333333332,40,3.76678729057312,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,27,33.33333333333332,40,3.278285264968872,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,28,33.33333333333332,40,3.837817907333374,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,29,33.241666666666646,40,3.6040632724761963,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,30,33.29999999999998,40,3.7210419178009033,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,31,33.316666666666656,40,3.7772300243377686,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,32,33.32499999999999,40,3.9623711109161377,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,33,33.33333333333332,40,3.7060418128967285,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,34,33.24166666666665,40,3.7354326248168945,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,35,33.17499999999999,40,3.3496217727661133,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,36,33.249999999999986,40,3.602649450302124,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,37,33.19999999999999,40,3.943096876144409,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,38,33.22499999999998,40,3.57804799079895,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,39,33.22499999999999,40,3.2254977226257324,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,40,33.33333333333332,40,3.3926939964294434,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,41,33.33333333333332,40,3.3653500080108643,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,42,33.33333333333332,40,4.01012659072876,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,43,33.33333333333332,40,3.6156344413757324,0.04122200209017271,0.3297760167213817,1.0,False,0.0,5.667417835700055,4.698922806868572
roundabout-v0,44,33.31666666666665,40,3.8176615238189697,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,45,33.241666666666646,40,3.405196189880371,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,46,33.31666666666665,40,3.116206407546997,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
roundabout-v0,47,33.32499999999999,40,2.9101696014404297,0.04122200209017271,0.3297760167213817,1.0,False,2.0,5.667417835700055,4.698922806868572
