episode,step,action,selected_q_value,q_value_0,q_value_1,q_value_2,q_value_3,q_value_4,reward,speed,on_road,crashed,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4
0,10,3,1.4821,1.3100,1.3203,1.2841,1.4821,0.7186,-1.0000,26.2502,False,True,True,False,"[ 1.         -0.3568942  -1.         -0.5957846   0.56637144 -0.72477096
  0.6889899 ]","[ 1.         -0.04489153  0.38190624  0.38100764 -0.29846987 -0.6255039
  0.78022105]","[ 1.          0.56909287 -0.6575522   0.27897766 -0.7318209  -0.8864025
 -0.46291536]","[ 1.          0.700495   -0.05865275  0.33443886 -0.8363527  -0.69552255
 -0.7185043 ]","[ 1.          0.83641124  1.          0.4687728  -1.         -0.2404645
 -0.97065794]"
1,0,4,1.8722,1.6002,1.5951,1.5916,1.4921,1.8722,-1.0000,18.2067,False,False,False,False,"[ 1.         -0.34690806  1.          0.49980688  0.4189819   0.7663508
  0.6424224 ]","[ 1.         -0.05275316 -0.7558551  -0.27519304 -0.12019975  0.6009023
  0.7993225 ]","[ 1.         -0.14092377 -1.         -0.23803405  0.13249955  0.42881507
  0.9033923 ]","[ 1.          0.24583866  0.5056601  -0.04639916 -0.32539877  0.9793569
  0.20213883]","[ 1.          0.41010106  0.547741    0.04878406 -0.4888766   0.99198115
 -0.12638599]"
1,1,4,3.7095,3.0648,3.1714,3.1755,3.0696,3.7095,-1.0000,15.0196,False,False,False,False,"[ 1.         -0.3118427   1.          0.55318546  0.24959844  0.911511
  0.41127568]","[ 1.         -0.07366031 -0.7397909  -0.32047278  0.04291985  0.62256896
  0.78256494]","[ 1.         -0.15088865 -1.         -0.14977576  0.208569    0.6608332
  0.75053287]","[ 1.          0.23818348  0.43570766 -0.09681579 -0.17173262  0.98575467
  0.16818954]","[ 1.          0.4077332   0.4103661  -0.00799301 -0.34234792  0.9858359
 -0.1677128 ]"
1,2,4,4.2398,3.5370,3.7112,3.6892,3.6130,4.2398,-1.0000,12.7813,False,False,False,False,"[ 1.         -0.27956435  1.          0.47198555  0.16698568  0.9427377
  0.333535  ]","[ 1.         -0.09108031 -0.70150495 -0.22881171  0.11689571  0.6505553
  0.7594589 ]","[ 1.         -0.15705518 -1.         -0.04041404  0.2647583   0.7069655
  0.70724803]","[ 1.          0.23350683  0.38266855 -0.01247433 -0.11054265  0.99254036
  0.12191647]","[ 1.          0.4077558   0.28618255  0.06698417 -0.2908765   0.9745837
 -0.22402371]"
1,3,4,4.0620,3.4185,3.6080,3.5694,3.5287,4.0620,-1.0000,11.2092,False,False,False,False,"[ 1.         -0.25241983  1.          0.4057095   0.13004589  0.9522749
  0.30524164]","[ 1.         -0.1026806  -0.65008515 -0.15142688  0.14392948  0.68027425
  0.73295766]","[ 1.         -0.15793051 -0.9259129   0.03161899  0.2958656   0.71639615
  0.6976937 ]","[ 1.          0.23408881  0.33725312  0.05609319 -0.09726426  0.99749
  0.07080804]","[ 1.          0.4123611   0.16567613  0.12437283 -0.28768474  0.9585132
 -0.28504804]"
1,4,4,3.6550,3.1060,3.2914,3.2409,3.2343,3.6550,-1.0000,7.8726,False,False,False,False,"[ 1.         -0.22905724  1.          0.3568416   0.11077499  0.95504063
  0.29647502]","[ 1.         -0.10982723 -0.59448177 -0.09139193  0.15239538  0.71014905
  0.7040514 ]","[ 1.         -0.15469149 -0.8057375   0.08677452  0.30858353  0.726696
  0.6869592 ]","[ 1.          0.23850068  0.29055128  0.10605158 -0.10263287  0.9998453
  0.0175869 ]","[ 1.          0.4200499   0.04012549  0.16184545 -0.30261102  0.9379078
 -0.34688458]"
1,5,4,2.9032,2.5238,2.6857,2.6166,2.6570,2.9032,-1.0000,5.5292,False,False,False,False,"[ 1.         -0.20984504  1.          0.25148302  0.07496845  0.95832455
  0.28568172]","[ 1.         -0.10955896 -0.5098602  -0.01703495  0.1509964   0.7200132
  0.69396037]","[ 1.         -0.1511404  -0.70295155  0.13780867  0.28729782  0.7320606
  0.6812395 ]","[ 1.          0.24702963  0.2439374   0.21117127 -0.09192067  0.9993294
 -0.03661668]","[ 1.          0.43104994 -0.08875266  0.25343257 -0.3005733   0.9130058
 -0.40794647]"
1,6,4,2.1898,1.9768,2.1045,2.0254,2.0760,2.1898,-1.0000,3.8833,False,False,False,False,"[ 1.         -0.19623034  1.          0.17753388  0.0495002   0.96325827
  0.26857677]","[ 1.         -0.10579022 -0.42251015  0.01308109  0.13421759  0.7200132
  0.69396037]","[ 1.         -0.14715369 -0.61716306  0.13897468  0.2450357   0.7320606
  0.6812395 ]","[ 1.          0.2610393   0.20128563  0.28350037 -0.09173504  0.9958301
 -0.09122691]","[ 1.          0.44667315 -0.21668084  0.3113403  -0.30803326  0.88399917
 -0.4674884 ]"
1,7,1,1.6258,1.5211,1.6258,1.5360,1.5841,1.5983,-1.0000,2.7274,False,False,False,False,"[ 1.         -0.18662839  1.          0.1251152   0.03319422  0.9665608
  0.25643754]","[ 1.         -0.10125878 -0.34783673  0.02986182  0.11617514  0.7200132
  0.69396037]","[ 1.         -0.14244504 -0.5437593   0.13221797  0.20627438  0.7320606
  0.6812395 ]","[ 1.          0.27886066  0.15654668  0.3328972  -0.10072948  0.98930293
 -0.14587559]","[ 1.          0.4652049  -0.34927556  0.34554076 -0.3235737   0.8510564
 -0.52507424]"
1,8,1,1.2003,1.1263,1.2003,1.1112,1.1446,1.0895,-1.0000,1.9155,False,False,False,False,"[ 1.         -0.17987794  1.          0.08803365  0.02269688  0.9683345
  0.24965647]","[ 1.         -0.09651827 -0.2852353   0.0379684   0.09874594  0.7200132
  0.69396037]","[ 1.         -0.13756043 -0.4821901   0.12118775  0.17199996  0.7320606
  0.6812395 ]","[ 1.          0.29924816  0.10651156  0.36555064 -0.1154204   0.9797383
 -0.20028202]","[ 1.          0.4853594  -0.48929372  0.36231813 -0.34366503  0.81434166
 -0.58038574]"
1,9,1,0.8771,0.8484,0.8771,0.8109,0.8090,0.7154,-1.0000,1.3453,False,False,False,False,"[ 1.         -0.17513822  1.          0.06188517  0.0157207   0.96921647
  0.24621014]","[ 1.         -0.0919154  -0.23320119  0.04055917  0.08301682  0.7200132
  0.69396037]","[ 1.         -0.13284041 -0.43099526  0.10821959  0.14257504  0.7320606
  0.6812395 ]","[ 1.          0.3212772   0.04963665  0.3858709  -0.13341041  0.9671494
 -0.2542088 ]","[ 1.          0.50617695 -0.63781065  0.36617076 -0.36587128  0.77402556
 -0.6331544 ]"
1,10,0,0.6346,0.6346,0.6231,0.5791,0.5407,0.4249,-1.0000,0.9449,False,False,False,False,"[ 1.         -0.17181133  1.          0.04348334  0.01096447  0.96964926
  0.24450022]","[ 1.         -0.08764643 -0.19012046  0.03980771  0.06931279  0.7200132
  0.69396037]","[ 1.         -0.1284762  -0.38859686  0.09481813  0.11773583  0.7320606
  0.6812395 ]","[ 1.          0.3442669  -0.01488579  0.3970583  -0.15330008  0.9515663
 -0.30744374]","[ 1.          0.5269467  -0.7951508   0.36038554 -0.38875702  0.7302897
 -0.6831376 ]"
1,11,0,-0.2681,-0.2681,-0.3306,-0.4075,-0.4569,-0.5700,-1.0000,0.6636,False,False,False,False,"[ 1.         -0.16947606  1.          0.03054644  0.00767406  0.96986204
  0.24365468]","[ 1.         -0.08380597 -0.15454262  0.03717226  0.05759432  0.7200132
  0.69396037]","[ 1.         -0.1245583  -0.3535738   0.08189777  0.09696405  0.7320606
  0.6812395 ]","[ 1.          0.3677145  -0.0875132   0.40141484 -0.17424484  0.93303275
 -0.35979146]","[ 1.         -0.32908332 -1.          0.00493664  0.6235013   0.05612884
  0.9984235 ]"
